query,intent,hunt_level,cluster_id,module,priority,source,note
"claude code для маркетологов",informational,3,C01,course-main,5,websearch+competitor,"горячая конкурент Одуд"
"claude code для маркетинга",informational,2,C01,course-main,5,websearch,"vc.ru уже ранжируется"
"claude code для рекламы",informational,2,C01,module-5-vibe,4,websearch,
"claude code что это",informational,1,C01,module-1-foundation,5,websearch,"TOFU объёмная"
"claude code как пользоваться",informational,2,C01,module-1-foundation,5,ai_brainstorm,
"claude code для бизнеса",informational,2,C01,course-main,5,websearch,
"claude code для новичков",informational,1,C01,module-1-foundation,4,ai_brainstorm,
"claude code без программирования",informational,2,C01,module-1-foundation,5,vlad_youtube,"ключевое позиционирование"
"claude code или chatgpt что лучше",comparison,3,C01,module-1-foundation,5,ai_brainstorm,
"claude vs chatgpt для маркетинга",comparison,3,C01,module-1-foundation,4,ai_brainstorm,
"переход с chatgpt на claude",informational,2,C01,predobr-onboarding,4,vlad_youtube,
"модели claude haiku sonnet opus разница",informational,2,C01,predobr-onboarding,3,vlad_youtube,
"claude desktop app настройка",informational,2,C01,module-1-foundation,3,ai_brainstorm,
"метапромтинг что это",informational,2,C01,predobr-onboarding,4,course_modules,
"5 элементов промпта claude",informational,2,C11,predobr-onboarding,3,course_modules,
"как ставить задачи нейросети",informational,1,C11,predobr-onboarding,5,vlad_youtube,"боль аудитории"
"claude code установка windows",informational,3,C01,module-1-foundation,4,ai_brainstorm,
"claude code установка mac",informational,3,C01,module-1-foundation,4,ai_brainstorm,
"claude code на русском",informational,1,C01,module-1-foundation,5,ai_brainstorm,
"deep research что это нейросеть",informational,1,C04,module-2-research,5,ai_brainstorm,
"deep research для маркетинга",informational,2,C04,module-2-research,4,course_modules,
"deep research vs обычный поиск",comparison,2,C04,module-2-research,3,ai_brainstorm,
"perplexity для маркетолога",informational,2,C04,module-2-research,4,websearch,
"анализ конкурентов через нейросеть",informational,2,C04,module-2-research,5,websearch,
"анализ конкурентов claude code",informational,3,C04,module-2-research,4,vlad_youtube,"3 конкурента за 20 минут"
"deep research как использовать",informational,2,C04,module-2-research,4,ai_brainstorm,
"кастдев через ai",informational,2,C04,module-2-research,4,course_modules,
"анализ целевой аудитории ai",informational,2,C04,module-2-research,5,ai_brainstorm,
"днк аудитории как составить",informational,2,C04,module-4-package,4,vlad_youtube,"терм из курса"
"ai ассистент для маркетолога",commercial,3,C02,module-3-employees,5,websearch,
"ai агент что это",informational,1,C02,module-3-employees,5,websearch,
"3 ai сотрудника",informational,2,C02,module-3-employees,5,vlad_youtube,"брендовый термин Vlad'а"
"ai сотрудники бесплатно",informational,2,C02,module-3-employees,5,vlad_youtube,
"цифровой сотрудник как создать",informational,2,C02,module-3-employees,4,ai_brainstorm,
"claude projects настройка",informational,3,C02,module-3-employees,4,course_modules,
"claude skills как создать",informational,3,C02,module-3-employees,5,course_modules,"long-tail мало конкурентов"
"системный промпт claude",informational,3,C02,module-3-employees,4,course_modules,
"мегапромпт claude code",informational,3,C02,module-3-employees,4,course_modules,
"база знаний для нейросети",informational,2,C02,module-3-employees,4,ai_brainstorm,
"job story как написать для ai",informational,3,C02,module-3-employees,3,course_modules,
"автономный ai агент",informational,2,C02,module-3-employees,4,vlad_youtube,
"telegram бот на claude",informational,3,C07,module-9-bots,4,vlad_youtube,
"ai продавец в telegram",informational,2,C07,module-9-bots,5,vlad_youtube,"$1-1.5К/день"
"упаковка продукта с нуля",informational,2,C05,module-4-package,4,ai_brainstorm,
"лестница хана для эксперта",informational,2,C05,module-4-package,3,course_modules,
"лестница ханта как использовать",informational,2,C05,module-4-package,4,ai_brainstorm,
"оффер хормози примеры",informational,2,C05,module-4-package,4,ai_brainstorm,
"grand slam offer как составить",informational,3,C05,module-4-package,3,ai_brainstorm,
"как упаковать экспертность",informational,1,C05,module-4-package,4,ai_brainstorm,
"как продавать дорого свои услуги",informational,1,C05,module-4-package,5,ai_brainstorm,
"запуск продукта за 60 минут",informational,2,C05,module-4-package,5,vlad_youtube,"видео с нумерологом"
"mvp за один день",informational,2,C05,module-4-package,4,ai_brainstorm,
"минимальный жизнеспособный продукт ai",informational,2,C05,module-4-package,3,ai_brainstorm,
"vibe coding что это",informational,1,C03,module-5-vibe,5,course_modules,"мало конкуренции"
"vibe coding как начать",informational,2,C03,module-5-vibe,5,ai_brainstorm,
"лендинг через claude code",informational,3,C03,module-5-vibe,5,course_modules,
"лендинг на nextjs без разработчика",informational,3,C03,module-5-vibe,4,ai_brainstorm,
"как сделать сайт через ai",informational,1,C03,module-5-vibe,5,ai_brainstorm,
"сайт без программиста через нейросеть",informational,1,C03,module-5-vibe,5,ai_brainstorm,
"деплой на vercel пошагово",informational,3,C03,module-5-vibe,3,course_modules,
"vercel для маркетолога",informational,2,C03,module-5-vibe,4,ai_brainstorm,
"nanobanana как использовать",informational,3,C03,module-5-vibe+6-visual,3,course_modules,
"frontend design без дизайнера",informational,2,C03,module-5-vibe,3,course_modules,
"bentogrids примеры",informational,3,C03,module-5-vibe,2,course_modules,
"лендинг за 5 минут ai",informational,2,C03,module-5-vibe,5,vlad_youtube,
"vsl как написать сценарий",informational,2,C06,module-6-visual,3,course_modules,
"video sales letter примеры",informational,2,C06,module-6-visual,3,ai_brainstorm,
"tone of voice как определить",informational,2,C06,module-6-visual,4,course_modules,
"tone of voice анализ через ai",informational,3,C06,module-6-visual,4,ai_brainstorm,
"контент план через нейросеть",informational,2,C06,module-6-visual,5,ai_brainstorm,
"5 типов контента эксперта",informational,2,C06,module-6-visual,3,course_modules,
"контент за 1 час вместо недели",informational,2,C06,module-6-visual,5,vlad_youtube,
"карусели instagram через claude",informational,3,C06,module-6-visual,4,ai_brainstorm,
"сторис прогрев структура",informational,2,C06,module-6-visual,3,course_modules,
"рилс на нейросетях",informational,2,C06,module-6-visual,4,ai_brainstorm,
"треды threads как писать",informational,2,C06,module-6-visual,3,ai_brainstorm,
"youtube сценарий через ai",informational,2,C06,module-6-visual,4,ai_brainstorm,
"dark carousel что это",informational,3,C06,module-6-visual,2,course_modules,
"notebooklm для маркетинга",informational,2,C11,predobr-notebooklm,5,vlad_youtube,
"notebooklm обзор",informational,1,C11,predobr-notebooklm,4,websearch,
"notebooklm vs perplexity",comparison,2,C11,predobr-notebooklm,3,ai_brainstorm,
"notebooklm как загрузить источники",informational,3,C11,predobr-notebooklm,3,ai_brainstorm,
"telegram чат в notebooklm",informational,3,C11,predobr-notebooklm,4,vlad_youtube,"уникальный workflow"
"автоматизация маркетинга через ai",informational,2,C08,module-7-automation,5,ai_brainstorm,
"make vs n8n что выбрать",comparison,3,C08,module-7-automation,4,ai_brainstorm,
"n8n для маркетолога",informational,3,C08,module-7-automation,4,ai_brainstorm,
"make сценарии для маркетинга",informational,3,C08,module-7-automation,3,ai_brainstorm,
"zapier альтернативы 2026",comparison,3,C08,module-7-automation,3,ai_brainstorm,
"автопостинг через нейросеть",informational,2,C08,module-7-automation,4,ai_brainstorm,
"контент конвейер ai",informational,2,C08,module-7-automation,4,ai_brainstorm,
"личный бренд эксперта через ai",informational,2,C09,module-8-expert,5,ai_brainstorm,
"эксперт без команды масштаб",informational,1,C09,module-8-expert,5,vlad_youtube,"ядро боли"
"позиционирование эксперта нейросеть",informational,2,C09,module-8-expert,4,ai_brainstorm,
"контент стратегия для эксперта 2026",informational,2,C09,module-8-expert,4,ai_brainstorm,
"как продавать экспертные услуги дорого",informational,1,C09,module-8-expert,5,ai_brainstorm,
"автоворонка через ai",informational,2,C09,module-8-expert+9,4,ai_brainstorm,
"запуск без бюджета на трафик",informational,1,C09,module-8-expert,4,ai_brainstorm,
"ai чат бот для продаж",commercial,3,C07,module-9-bots,5,ai_brainstorm,
"чат бот для эксперта telegram",commercial,3,C07,module-9-bots,4,ai_brainstorm,
"автопродажи в telegram через ai",informational,2,C07,module-9-bots,5,vlad_youtube,
"квалификация лидов через нейросеть",informational,2,C07,module-9-bots,3,ai_brainstorm,
"ai в продажах кейсы",informational,2,C07,module-9-bots,4,ai_brainstorm,
"voice ассистент в telegram",informational,3,C07,module-9-bots,3,vlad_youtube,"второй мозг"
"ai маркетолог обучение",commercial,3,C12,course-main,5,websearch,
"ai маркетолог курс",commercial,3,C12,course-main,5,websearch,
"курс по нейросетям для маркетинга",commercial,3,C12,course-main,5,websearch,
"обучение ai маркетингу с нуля",commercial,2,C12,course-main,5,websearch,
"claude code курс на русском",commercial,3,C12,course-main,5,ai_brainstorm,"мало конкурентов"
"практический курс по нейросетям",commercial,2,C12,course-main,4,ai_brainstorm,
"курс по claude code",commercial,3,C12,course-main,5,ai_brainstorm,
"ai маркетолог 2.0",branded,4,C12,course-main,5,vlad_youtube,"название курса"
"влад яско курс",branded,4,C12,course-main,5,ai_brainstorm,
"vlad yasko ai marketolog",branded,4,C12,course-main,4,ai_brainstorm,
"влад яско отзывы",branded,4,C12,course-main,4,ai_brainstorm,
"ai ковчег программа",branded,4,C12,course-main,5,vlad_youtube,"другой продукт Vlad'а"
"низшая лига клуб влад",branded,4,C12,course-main,3,vlad_youtube,
"claude code для маркетологов отзывы",commercial,4,C12,course-main,5,competitor,"перехват конкурента Одуд"
"одуд claude code обзор",comparison,4,C12,course-main,4,competitor,
"одуд vs влад яско",comparison,4,C12,course-main,3,competitor,"пограничный"
"альтернативы курсу одуд",commercial,4,C12,course-main,4,competitor,
"лучший курс по claude code на русском",comparison,3,C12,course-main,4,ai_brainstorm,
"ai инструменты для бизнеса 2026",informational,1,C11,course-main,5,websearch,
"топ нейросетей для маркетолога 2026",informational,1,C11,course-main,5,websearch,
"бесплатные ai инструменты для маркетинга",informational,1,C11,course-main,5,ai_brainstorm,
"claude бесплатно как получить",informational,2,C11,predobr-ai-start,4,ai_brainstorm,
"gemini business бесплатно",informational,3,C11,predobr-ai-start,4,vlad_youtube,
"perplexity за 10 долларов в год",informational,3,C11,predobr-ai-start,4,vlad_youtube,
"chatgpt бесплатно для учителей",informational,3,C11,predobr-ai-start,3,vlad_youtube,
"ai стек маркетолога",informational,2,C11,course-main,5,ai_brainstorm,
"ai трансформация бизнеса",informational,1,C11,course-main,4,vlad_youtube,
"как внедрить ai в работу",informational,1,C11,course-main,5,vlad_youtube,
"маркетолог уволят из за ai",informational,0,C10,course-main,5,vlad_threads,"провокационный TOFU"
"ai заменит маркетолога 2026",informational,0,C10,course-main,5,ai_brainstorm,
"что делать маркетологу когда пришел ai",informational,1,C10,course-main,5,vlad_threads,
"обучение маркетингу rip",informational,0,C10,course-main,4,vlad_threads,"цитата из Threads"
"профессия маркетолог будущее",informational,0,C10,course-main,4,ai_brainstorm,
"маркетолог без команды как работать",informational,1,C09,module-8-expert,5,vlad_youtube,
"соло маркетолог инструменты",informational,2,C09,module-8-expert,4,ai_brainstorm,
"как я потерял миллион долларов",informational,0,C10,course-main,4,vlad_youtube,"story-driven"
"выход из депрессии после провала",informational,0,C10,course-main,3,vlad_youtube,
"как восстановиться после банкротства",informational,0,C10,course-main,3,ai_brainstorm,
"что такое geo seo",informational,1,C12,course-main,5,ai_brainstorm,"наш блог демо GEO"
"geo оптимизация для chatgpt",informational,2,C12,course-main,5,ai_brainstorm,
"как попасть в ответы perplexity",informational,2,C12,course-main,5,ai_brainstorm,
"ai search optimization что это",informational,1,C12,course-main,4,ai_brainstorm,
"цитирование в нейросетях seo",informational,2,C12,course-main,4,ai_brainstorm,
"как написать промпт для claude",informational,2,C11,predobr-onboarding,5,ai_brainstorm,
"промпты для маркетинга 2026",informational,1,C11,course-main,5,ai_brainstorm,
"claude code промпт шаблоны",informational,3,C11,course-main,4,ai_brainstorm,
"лучшие промпты для бизнеса",informational,1,C11,course-main,4,ai_brainstorm,
"ai маркетинг для предпринимателя",informational,1,C09,course-main,5,ai_brainstorm,
"ai для соло предпринимателя",informational,1,C09,course-main,4,ai_brainstorm,
"запустить онлайн школу с нуля ai",informational,1,C09,course-main,4,ai_brainstorm,
"как продавать обучение через ai",informational,2,C09,course-main,4,ai_brainstorm,
"claude code маркетинг кейсы",informational,2,C12,course-main,5,ai_brainstorm,"редкая мало конкуренции"
"кейсы внедрения ai в маркетинг",informational,2,C12,course-main,5,ai_brainstorm,
"результаты учеников ai маркетолог",branded,4,C12,course-main,4,ai_brainstorm,
